INFO:root:Description: 迁移学习日志，参数如下
INFO:root:{'source_dataset': 'imagenet', 'target_dataset': 'caltech256', 'domain_label': 'real', 'arch': 'vgg16', 'model_path': '', 'resume': False, 'weight_decay': 0.0005, 'lr': 0.01, 'lr_factor': 0.2, 'bs': 32, 'momentum': 0.9, 'lr_step': 10, 'tensorboard_path': './runs/imagenet_caltech256/vgg16', 'checkpoint_path': './checkpoints/imagenet_caltech256/vgg16', 'checkpoint_save_step': 5, 'log_path': './log/vgg16/imagenet_caltech256/log1.log', 'end_epoch': 180}
INFO:root:Test set: LR: 0.00312697,  Average loss: 0.0460, Accuracy: 0.7100
INFO:root:Test set: LR: 0.00312697,  Average loss: 0.0450, Accuracy: 0.7106
INFO:root:Test set: LR: 0.00312697,  Average loss: 0.0475, Accuracy: 0.7058
INFO:root:Test set: LR: 0.00304634,  Average loss: 0.0464, Accuracy: 0.7095
INFO:root:Test set: LR: 0.00296632,  Average loss: 0.0460, Accuracy: 0.7020
INFO:root:Test set: LR: 0.00288691,  Average loss: 0.0446, Accuracy: 0.7069
INFO:root:Test set: LR: 0.00280814,  Average loss: 0.0460, Accuracy: 0.7061
INFO:root:Test set: LR: 0.00273005,  Average loss: 0.0474, Accuracy: 0.7071
INFO:root:Test set: LR: 0.00265264,  Average loss: 0.0447, Accuracy: 0.7189
INFO:root:Test set: LR: 0.00265264,  Average loss: 0.0451, Accuracy: 0.7077
INFO:root:Test set: LR: 0.00257595,  Average loss: 0.0467, Accuracy: 0.7063
INFO:root:Test set: LR: 0.00250000,  Average loss: 0.0461, Accuracy: 0.7097
INFO:root:Test set: LR: 0.00242481,  Average loss: 0.0461, Accuracy: 0.7137
INFO:root:Test set: LR: 0.00235040,  Average loss: 0.0459, Accuracy: 0.7115
INFO:root:Test set: LR: 0.00227680,  Average loss: 0.0455, Accuracy: 0.7120
INFO:root:Test set: LR: 0.00220404,  Average loss: 0.0460, Accuracy: 0.7152
INFO:root:Test set: LR: 0.00213212,  Average loss: 0.0447, Accuracy: 0.7151
INFO:root:Test set: LR: 0.00206107,  Average loss: 0.0454, Accuracy: 0.7179
INFO:root:Test set: LR: 0.00199092,  Average loss: 0.0448, Accuracy: 0.7203
INFO:root:Test set: LR: 0.00199092,  Average loss: 0.0447, Accuracy: 0.7179
INFO:root:Test set: LR: 0.00192169,  Average loss: 0.0444, Accuracy: 0.7175
INFO:root:Test set: LR: 0.00185340,  Average loss: 0.0458, Accuracy: 0.7134
INFO:root:Test set: LR: 0.00178606,  Average loss: 0.0453, Accuracy: 0.7121
INFO:root:Test set: LR: 0.00171970,  Average loss: 0.0446, Accuracy: 0.7179
INFO:root:Test set: LR: 0.00165435,  Average loss: 0.0443, Accuracy: 0.7169
INFO:root:Test set: LR: 0.00159001,  Average loss: 0.0431, Accuracy: 0.7251
INFO:root:Test set: LR: 0.00159001,  Average loss: 0.0449, Accuracy: 0.7185
INFO:root:Test set: LR: 0.00152671,  Average loss: 0.0444, Accuracy: 0.7162
INFO:root:Test set: LR: 0.00146447,  Average loss: 0.0439, Accuracy: 0.7279
INFO:root:Test set: LR: 0.00146447,  Average loss: 0.0443, Accuracy: 0.7213
INFO:root:Test set: LR: 0.00140330,  Average loss: 0.0440, Accuracy: 0.7220
INFO:root:Test set: LR: 0.00134323,  Average loss: 0.0437, Accuracy: 0.7165
INFO:root:Test set: LR: 0.00128428,  Average loss: 0.0431, Accuracy: 0.7220
INFO:root:Test set: LR: 0.00122645,  Average loss: 0.0428, Accuracy: 0.7287
INFO:root:Test set: LR: 0.00122645,  Average loss: 0.0432, Accuracy: 0.7243
INFO:root:Test set: LR: 0.00116978,  Average loss: 0.0439, Accuracy: 0.7316
INFO:root:Test set: LR: 0.00116978,  Average loss: 0.0443, Accuracy: 0.7223
INFO:root:Test set: LR: 0.00111427,  Average loss: 0.0439, Accuracy: 0.7250
INFO:root:Test set: LR: 0.00105995,  Average loss: 0.0440, Accuracy: 0.7296
INFO:root:Test set: LR: 0.00100682,  Average loss: 0.0436, Accuracy: 0.7225
INFO:root:Test set: LR: 0.00095492,  Average loss: 0.0436, Accuracy: 0.7214
INFO:root:Test set: LR: 0.00090424,  Average loss: 0.0433, Accuracy: 0.7291
INFO:root:Test set: LR: 0.00085481,  Average loss: 0.0424, Accuracy: 0.7356
INFO:root:Test set: LR: 0.00085481,  Average loss: 0.0442, Accuracy: 0.7271
INFO:root:Test set: LR: 0.00080665,  Average loss: 0.0434, Accuracy: 0.7311
INFO:root:Test set: LR: 0.00075976,  Average loss: 0.0435, Accuracy: 0.7276
INFO:root:Test set: LR: 0.00071416,  Average loss: 0.0439, Accuracy: 0.7287
INFO:root:Test set: LR: 0.00066987,  Average loss: 0.0432, Accuracy: 0.7288
INFO:root:Test set: LR: 0.00062690,  Average loss: 0.0436, Accuracy: 0.7307
INFO:root:Test set: LR: 0.00058526,  Average loss: 0.0427, Accuracy: 0.7324
INFO:root:Test set: LR: 0.00050000,  Average loss: 0.0430, Accuracy: 0.7317
INFO:root:Test set: LR: 0.00050000,  Average loss: 0.0428, Accuracy: 0.7328
INFO:root:Test set: LR: 0.00050000,  Average loss: 0.0432, Accuracy: 0.7348
INFO:root:Test set: LR: 0.00050000,  Average loss: 0.0432, Accuracy: 0.7302
INFO:root:Test set: LR: 0.00049991,  Average loss: 0.0438, Accuracy: 0.7301
INFO:root:Test set: LR: 0.00049966,  Average loss: 0.0437, Accuracy: 0.7311
INFO:root:Test set: LR: 0.00049923,  Average loss: 0.0438, Accuracy: 0.7280
INFO:root:Test set: LR: 0.00049863,  Average loss: 0.0442, Accuracy: 0.7282
INFO:root:Test set: LR: 0.00049786,  Average loss: 0.0430, Accuracy: 0.7296
INFO:root:Test set: LR: 0.00049692,  Average loss: 0.0434, Accuracy: 0.7301
INFO:root:Test set: LR: 0.00049581,  Average loss: 0.0439, Accuracy: 0.7305
INFO:root:Test set: LR: 0.00049454,  Average loss: 0.0445, Accuracy: 0.7262
INFO:root:Test set: LR: 0.00049309,  Average loss: 0.0438, Accuracy: 0.7299
INFO:root:Test set: LR: 0.00049148,  Average loss: 0.0430, Accuracy: 0.7279
INFO:root:Test set: LR: 0.00048970,  Average loss: 0.0433, Accuracy: 0.7304
INFO:root:Test set: LR: 0.00048776,  Average loss: 0.0433, Accuracy: 0.7297
INFO:root:Test set: LR: 0.00048566,  Average loss: 0.0436, Accuracy: 0.7313
INFO:root:Test set: LR: 0.00048340,  Average loss: 0.0439, Accuracy: 0.7338
INFO:root:Test set: LR: 0.00048097,  Average loss: 0.0434, Accuracy: 0.7311
