INFO:root:Description: 预训练日志，参数如下
INFO:root:{'source_dataset': 'tinydomainnet', 'arch': 'mobilenet_v3_small', 'domain_label': 'real', 'lr': 0.01, 'lr_factor': 0.2, 'bs': 16, 'lr_step': 50, 'momentum': 0.9, 'weight_decay': 0.0005, 'tensorboard_path': './runs/domainnet/real/mobilenet_v3_small', 'checkpoint_path': './checkpoints/domainnet/real/mobilenet_v3_small', 'checkpoint_save_step': 5, 'log_path': './log/mobilenet_v3_small/domainnet/real/log1.log', 'end_epoch': 300}
INFO:root:Test set: LR: 0.00669369,  Average loss: 0.0775, Accuracy: 0.6584
INFO:root:Test set: LR: 0.00664433,  Average loss: 0.0783, Accuracy: 0.6557
INFO:root:Test set: LR: 0.00659480,  Average loss: 0.0808, Accuracy: 0.6443
INFO:root:Test set: LR: 0.00654508,  Average loss: 0.0745, Accuracy: 0.6651
INFO:root:Test set: LR: 0.00654508,  Average loss: 0.0771, Accuracy: 0.6626
INFO:root:Test set: LR: 0.00649520,  Average loss: 0.0748, Accuracy: 0.6725
INFO:root:Test set: LR: 0.00649520,  Average loss: 0.0757, Accuracy: 0.6669
INFO:root:Test set: LR: 0.00644516,  Average loss: 0.0761, Accuracy: 0.6628
INFO:root:Test set: LR: 0.00639496,  Average loss: 0.0761, Accuracy: 0.6513
INFO:root:Test set: LR: 0.00634460,  Average loss: 0.0846, Accuracy: 0.6343
INFO:root:Test set: LR: 0.00629410,  Average loss: 0.0787, Accuracy: 0.6476
INFO:root:Test set: LR: 0.00624345,  Average loss: 0.0750, Accuracy: 0.6649
INFO:root:Test set: LR: 0.00619267,  Average loss: 0.0755, Accuracy: 0.6733
INFO:root:Test set: LR: 0.00619267,  Average loss: 0.0787, Accuracy: 0.6533
INFO:root:Test set: LR: 0.00614175,  Average loss: 0.0783, Accuracy: 0.6600
INFO:root:Test set: LR: 0.00609072,  Average loss: 0.0741, Accuracy: 0.6700
INFO:root:Test set: LR: 0.00603956,  Average loss: 0.0760, Accuracy: 0.6690
INFO:root:Test set: LR: 0.00598829,  Average loss: 0.0759, Accuracy: 0.6628
INFO:root:Test set: LR: 0.00593691,  Average loss: 0.0732, Accuracy: 0.6728
INFO:root:Test set: LR: 0.00588542,  Average loss: 0.0741, Accuracy: 0.6720
INFO:root:Test set: LR: 0.00583384,  Average loss: 0.0752, Accuracy: 0.6652
